person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,label,risk_analyst_eval,industry_specialist_eval,legal_advisor_eval
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,1,"1. 信贷评分等级D，表明信用风险高。  
2. 年收入59000元，贷款金额占收入比例高（59%）。  
3. 有违约记录，增加信用风险。  
4. 工作年限较长（10年），但收入稳定性需考量。  
5. 租房状况可能影响负债偿还能力。  

总体风险评级：高风险。",问题包括：1）缺少具体收入来源及负债情况；2）借款用途“PERSONAL”含糊；3）贷款状态不明确。需补充收入来源、负债详情及借款用途具体说明。,借款人年龄较小，年收入与贷款金额比例合理，但信贷评分D及违约记录显示诚信程度低。缺乏明确的还款目标，可能存在逃避动机。总结判断：可疑态度。
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0,"- 年龄较小，工作年限短，稳定性不足。
- 年收入9600元，贷款金额占比低，负担轻。
- 信用评分B，信用历史良好，无违约记录。
- 教育贷款用途合理，有助于未来收入提升。

总体风险评级：中风险。",问题包括：1）缺失收入来源和负债情况；2）描述较为清晰，但工作年限短可能影响贷款审批；3）无自相矛盾表述。需补充收入来源和负债信息。,借款人年收入稳定且有房产，申请教育贷款显示对未来规划的重视。无违约记录和良好信用历史反映其诚信。综合评估，判断为明确意愿。
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,1,"- 年龄较轻，工作年限短，收入稳定性不足。
- 信贷评分C，信用风险较高。
- 贷款金额占收入比例合理，但负担偏高。
- 无违约记录，有一定信用基础。
- 贷款用途为医疗，可能影响还款能力。

总体风险评级：中风险。",问题包括：1）收入来源缺失，未说明是否为固定工作或其他；2）负债情况不明确，需提供其他负债信息；3）工作年限仅1个月，需说明是否稳定。建议补充以上信息。,借款人年龄较轻，收入稳定且未有违约记录，显示出一定的责任感与诚信。然而，工作年限仅1个月，可能影响其还款能力与稳定性。借款用途为医疗，体现出紧迫性。总体判断为“意愿不明”。
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0,"- 年龄较小，工作年限短，稳定性不足。
- 年收入与贷款金额比例合适，但利率较高。
- 信贷评分C，信用记录良好，无违约。
- 负债水平适中，但未来收入不确定。

总体风险评级：中风险。","问题一：缺少负债情况和资产信息。  
问题二：工作年限仅4个月，需明确稳定性。  
问题三：信贷评分为C，需解释其影响。  
需补充负债、资产及工作稳定性等信息。",借款人年收入较低，工作时间短，信贷评分C，显示出还款能力有限。借款用途为医疗，可能有迫切需求。整体看，存在积极还款意愿，但因经济状况和信用等级，意愿可疑。总结判断：意愿不明。
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0,"- 年龄较小，工作经验不足，影响稳定性。
- 年收入54400元，负债占比0.55，尚可承受。
- 信贷评分C，信用风险较高。
- 有违约记录，增加违约可能性。
- 贷款用途医疗，紧急性高，可能影响还款意愿。

总体风险评级：高风险。",问题：1）缺少负债情况、收入来源、医疗费用具体金额；2）描述清晰，但需确认“贷款状态1”含义；3）“是否有违约记录”为Y与信贷评分等级C矛盾。需补充详细信息。,借款人年龄较小，工作时间短，收入稳定但信贷评分低。借款用途为医疗，体现一定的责任感。违约记录和高贷款占比显示潜在逃避动机。综合判断：意愿不明。
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0,"- 年龄较小，工作经验不足，稳定性差。
- 年收入较低，但借款金额占比合理。
- 信贷评分高，无违约记录，信用历史良好。
- 贷款用途为创业，风险较高。
总体风险评级：中风险。",问题：1）缺失经营时间和具体负债情况；2）借款用途“VENTURE”描述含糊，需明确用途；3）收入与工作年限不匹配。需补充经营时间、负债详情及借款用途具体信息。,借款人年龄21岁，年收入9900元，信用评分A且无违约记录，显示出较强的还款意愿。借款用途为创业，表明积极目标规划。总体判断：明确意愿。
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0,"- 年龄较轻，工作时间短，收入稳定但不高。
- 信贷评分B，信用历史良好，无违约记录。
- 贷款金额占收入比例合理，负担适中。
- 住房为租赁，缺乏资产保障。

总体风险评级：中风险。",问题包括：1）缺失负债情况信息；2）工作年限仅8个月，是否稳定需说明；3）贷款状态不明确，需解释含义。建议补充负债详情和贷款状态说明。,借款人年龄较轻，年收入稳定，且无违约记录，表现出一定的责任感和诚信。借款用途为教育，目标明确，意愿积极。总结判断：明确意愿。
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0,"- 年龄较轻，工作年限短，收入稳定但较低。
- 信贷评分为B，评级中等，存在一定风险。
- 贷款金额占收入比例为44%，较高。
- 无违约记录，但负债水平需关注。
- 整体判断为中风险。",问题包括：1）缺少负债情况；2）工作年限仅5个月，需说明收入来源稳定性；3）贷款金额占收入比例较高，需解释借款用途和还款计划。建议补充负债、收入稳定性及还款能力信息。,借款人年收入较高，信贷评分为B，且无违约记录，显示出一定的信用责任感。借款用途为医疗，体现出紧迫需求。整体来看，借款人表现出明确的还款意愿。
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0,"- 年龄较轻，工作年限短，收入稳定性需评估。
- 年收入83000元，贷款占比42%，负担适中。
- 信贷评分A，无违约记录，信用良好。
- 信用历史较短但无不良记录，风险相对较低。

总体风险评级：低风险。",存在问题：1）缺失负债情况（如信用卡、其他贷款）信息；2）借款用途“PERSONAL”描述含糊；3）工作年限仅8个月，需补充稳定收入证明。,借款人年龄较轻，年收入较高，信贷评分为A且无违约记录，显示出积极还款意愿。虽然工作时间短，但无逃避动机，意愿明确。
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0,"- 年龄较小，工作年限短，稳定性不足。
- 年收入较低，贷款金额占比适中。
- 信贷评分D，表明信用风险高。
- 无违约记录，但信用历史较短。
- 负债水平低，但收入来源单一，风险较大。

总体风险评级：中风险。",问题包括：1）缺乏负债情况、经营项目详情；2）借款用途“VENTURE”含糊，需明确创业类型；3）工作年限较短，需评估收入稳定性。补充信息：负债情况、经营计划及预计收入。,借款人年仅21岁，工作时间短，收入稳定且无违约记录，显示一定责任感。借款用途为创业，表明目标规划。但信贷评分为D，可能反映诚信程度不足。总体判断为：意愿不明。
