person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,evaluation_text,label
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,借款人年龄22岁，收入为59000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约123.0年，这反映出其工作稳定性欠佳。贷款意图为PERSONAL，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达59.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,1
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,借款人年龄为21岁，展现出与其年龄相称的成熟与稳重。其年收入达9600元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于OWN状态，这体现出其生活具备较高的安定性。就业时长约5.0年，足以证明其工作稳定性较强。此次贷款意图为EDUCATION，从过往信用记录来看，信用等级被评定为B，这清晰地表明其信用表现良好。贷款金额为1000元，贷款利率处于合理范畴，贷款占收入的百分比为10.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有2年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,借款人年龄25岁，收入为9600元，这样的收入水平相对有限。住房情况是MORTGAGE，稳定性一般。就业时长约1.0年，这反映出其工作稳定性欠佳。贷款意图为MEDICAL，然而其信用等级仅为C，这充分表明信用状况不容乐观。申请贷款金额5500元，贷款利率较高，贷款占收入的百分比达57.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,1
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,借款人年龄23岁，收入为65500元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约4.0年，这反映出其工作稳定性欠佳。贷款意图为MEDICAL，然而其信用等级仅为C，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达53.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,借款人年龄24岁，收入为54400元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约8.0年，这反映出其工作稳定性欠佳。贷款意图为MEDICAL，然而其信用等级仅为C，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达55.00%，还款压力较大。借款人曾有违约记录（Y），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,借款人年龄21岁，收入为9900元，这样的收入水平相对有限。住房情况是OWN，稳定性一般。就业时长约2.0年，这反映出其工作稳定性欠佳。贷款意图为VENTURE，然而其信用等级仅为A，这充分表明信用状况不容乐观。申请贷款金额2500元，贷款利率较高，贷款占收入的百分比达25.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,借款人年龄26岁，收入为77100元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约8.0年，这反映出其工作稳定性欠佳。贷款意图为EDUCATION，然而其信用等级仅为B，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达45.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,借款人年龄24岁，收入为78956元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约5.0年，这反映出其工作稳定性欠佳。贷款意图为MEDICAL，然而其信用等级仅为B，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达44.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,借款人年龄24岁，收入为83000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约8.0年，这反映出其工作稳定性欠佳。贷款意图为PERSONAL，然而其信用等级仅为A，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达42.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,借款人年龄21岁，收入为10000元，这样的收入水平相对有限。住房情况是OWN，稳定性一般。就业时长约6.0年，这反映出其工作稳定性欠佳。贷款意图为VENTURE，然而其信用等级仅为D，这充分表明信用状况不容乐观。申请贷款金额1600元，贷款利率较高，贷款占收入的百分比达16.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为3年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,借款人年龄22岁，收入为85000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约6.0年，这反映出其工作稳定性欠佳。贷款意图为VENTURE，然而其信用等级仅为B，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达41.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,借款人年龄21岁，收入为10000元，这样的收入水平相对有限。住房情况是OWN，稳定性一般。就业时长约2.0年，这反映出其工作稳定性欠佳。贷款意图为HOMEIMPROVEMENT，然而其信用等级仅为A，这充分表明信用状况不容乐观。申请贷款金额4500元，贷款利率较高，贷款占收入的百分比达45.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,借款人年龄23岁，收入为95000元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约2.0年，这反映出其工作稳定性欠佳。贷款意图为VENTURE，然而其信用等级仅为A，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达37.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为2年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,借款人年龄26岁，收入为108160元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约4.0年，这反映出其工作稳定性欠佳。贷款意图为EDUCATION，然而其信用等级仅为E，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达32.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,借款人年龄为23岁，展现出与其年龄相称的成熟与稳重。其年收入达115000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于RENT状态，这体现出其生活具备较高的安定性。就业时长约2.0年，足以证明其工作稳定性较强。此次贷款意图为EDUCATION，从过往信用记录来看，信用等级被评定为A，这清晰地表明其信用表现良好。贷款金额为35000元，贷款利率处于合理范畴，贷款占收入的百分比为30.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有4年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,借款人年龄为23岁，展现出与其年龄相称的成熟与稳重。其年收入达500000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于MORTGAGE状态，这体现出其生活具备较高的安定性。就业时长约7.0年，足以证明其工作稳定性较强。此次贷款意图为DEBTCONSOLIDATION，从过往信用记录来看，信用等级被评定为B，这清晰地表明其信用表现良好。贷款金额为30000元，贷款利率处于合理范畴，贷款占收入的百分比为6.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有3年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,借款人年龄为23岁，展现出与其年龄相称的成熟与稳重。其年收入达120000元，这一可观的收入为按时偿还贷款提供了极为坚实的经济后盾。住房方面，处于RENT状态，这体现出其生活具备较高的安定性。就业时长约0.0年，足以证明其工作稳定性较强。此次贷款意图为EDUCATION，从过往信用记录来看，信用等级被评定为A，这清晰地表明其信用表现良好。贷款金额为35000元，贷款利率处于合理范畴，贷款占收入的百分比为29.00%，还款压力相对较小。借款人无违约记录（N），且信用历史长度已有4年，这进一步有力地证明其具备良好的信用习惯。综合各方面因素评估，该借款人经营状况稳健，还款意愿和能力都较强，非常建议批准贷款申请。,0
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,借款人年龄23岁，收入为92111元，这样的收入水平相对有限。住房情况是RENT，稳定性一般。就业时长约7.0年，这反映出其工作稳定性欠佳。贷款意图为MEDICAL，然而其信用等级仅为F，这充分表明信用状况不容乐观。申请贷款金额35000元，贷款利率较高，贷款占收入的百分比达32.00%，还款压力较大。借款人曾有违约记录（N），且信用历史长度为4年，这些因素都显著增加了违约风险。综合全面考虑，该借款人还款能力存在很大疑问，务必谨慎审批贷款申请。,0
